"","Yr","Player","allstar"
"1543",2015,"John Wall",1
"1544",2015,"LaMarcus Aldridge",1
"1545",2015,"Kobe Bryant",1
"1546",2015,"DeMarcus Cousins",1
"1547",2015,"Stephen Curry",1
"1548",2015,"Anthony Davis",1
"1549",2015,"Tim Duncan",1
"1550",2015,"Kevin Durant",1
"1551",2015,"Marc Gasol",1
"1552",2015,"Blake Griffin",1
"1553",2015,"James Harden",1
"1554",2015,"Damian Lillard",1
"1555",2015,"Dirk Nowitzki",1
"1556",2015,"Chris Paul",1
"1557",2015,"Klay Thompson",1
"1558",2015,"Russell Westbrook",1
"1559",2016,"Carmelo Anthony",1
"1560",2016,"Chris Bosh",1
"1561",2016,"Jimmy Butler",1
"1562",2016,"DeMar DeRozan",1
"1563",2016,"Andre Drummond",1
"1564",2016,"Pau Gasol",1
"1565",2016,"Paul George",1
"1566",2016,"Al Horford",1
"1567",2016,"LeBron James",1
"1568",2016,"Kyle Lowry",1
"1569",2016,"Paul Millsap",1
"1570",2016,"Isaiah Thomas",1
"1571",2016,"Dwyane Wade",1
"1572",2016,"John Wall",1
"1573",2016,"LaMarcus Aldridge",1
"1574",2016,"Kobe Bryant",1
"1575",2016,"DeMarcus Cousins",1
"1576",2016,"Stephen Curry",1
"1577",2016,"Anthony Davis",1
"1578",2016,"Kevin Durant",1
"1579",2016,"Draymond Green",1
